name,url,description
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,
Visual Comparison - US,https://www.shl.com/products/product-catalog/view/visual-comparison-us/,
Verify Interactive G+ Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-report/,
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,
SQL Server (New),https://www.shl.com/products/product-catalog/view/sql-server-new/,
Zabbix (New),https://www.shl.com/products/product-catalog/view/zabbix-new/,
Verify - Technical Checking - Next Generation,https://www.shl.com/products/product-catalog/view/verify-technical-checking-next-generation/,
Virtual Assessment and Development Centers,https://www.shl.com/products/product-catalog/view/virtual-assessment-and-development-centers/,
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,
Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/telecommunications-engineering-new/,
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,
SVAR - Spoken English (US)  (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-us-new/,
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,
Salesforce Development (New),https://www.shl.com/products/product-catalog/view/salesforce-development-new/,
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new/,
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,
Reading Comprehension - English v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,
What Is The Value - US,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/,
RemoteWorkQ Manager Report,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/,
SAP HCM (Human Capital Management) (New),https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/,
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,
Verify G+ - Candidate Report,https://www.shl.com/products/product-catalog/view/verify-g-candidate-report/,
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,
Ruby on Rails (New),https://www.shl.com/products/product-catalog/view/ruby-on-rails-new/,
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,
Workplace Administration Skills (New),https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,
SAP Business Objects WebI (New),https://www.shl.com/products/product-catalog/view/sap-business-objects-webi-new/,
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,
A Different Kind of Talent Intelligence,https://www.shl.com/products/product-catalog/view/econometrics-new/,
Siebel Development (New),https://www.shl.com/products/product-catalog/view/siebel-development-new/,
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,
ReactJS (New),https://www.shl.com/products/product-catalog/view/reactjs-new/,
R Programming (New),https://www.shl.com/products/product-catalog/view/r-programming-new/,
SAP SD (Sales and Distribution) (New),https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/,
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,
SVAR - Spoken Spanish (North American) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-north-american-new/,
Universal Competency Framework Job profiling guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,
Social Media (New),https://www.shl.com/products/product-catalog/view/social-media-new/,
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,
Verify - Deductive Reasoning,https://www.shl.com/products/product-catalog/view/verify-deductive-reasoning/,
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,
Tableau (New),https://www.shl.com/products/product-catalog/view/tableau-new/,
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,
360° Multi-Rater Feedback System (MFS),https://www.shl.com/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,
RESTful Web Services (New),https://www.shl.com/products/product-catalog/view/restful-web-services-new/,
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,
SonarQube (New),https://www.shl.com/products/product-catalog/view/sonarqube-new/,
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,
SAP Hybris (New),https://www.shl.com/products/product-catalog/view/sap-hybris-new/,
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,
Training Development,https://www.shl.com/products/product-catalog/view/training-development/,
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,
SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-castilian-new/,
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,
Split Screen Typing Test - Form 1,https://www.shl.com/products/product-catalog/view/split-screen-typing-test-form-1/,
Smart Interview On Demand,https://www.shl.com/products/product-catalog/view/smart-interview-on-demand/,
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,
Verify Interactive G+ Candidate Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,
Reading Comprehension - Spanish v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,
Verify Interactive Ability Report,https://www.shl.com/products/product-catalog/view/verify-interactive-ability-report/,
Smart Interview Live Coding,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/,
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,
Selenium (New),https://www.shl.com/products/product-catalog/view/selenium-new/,
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,
Struts (New),https://www.shl.com/products/product-catalog/view/struts-new/,
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,
Universal Competency Framework Interview Guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-interview-guide/,
RemoteWorkQ,https://www.shl.com/products/product-catalog/view/remoteworkq/,
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,
Software Business Analysis,https://www.shl.com/products/product-catalog/view/software-business-analysis/,
SVAR - Spoken English (AUS),https://www.shl.com/products/product-catalog/view/svar-spoken-english-aus/,
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,
WriteX - Email Writing (Managerial) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/,
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,
Sales & Service Phone Simulation,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/,
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,
Verify - General Ability Screen,https://www.shl.com/products/product-catalog/view/verify-general-ability-screen/,
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,
SVAR - Spoken French (Canadian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-canadian-new/,
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/,
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,
UiPath RPA Development (New),https://www.shl.com/products/product-catalog/view/uipath-rpa-development-new/,
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-indian-accent-new/,
Teradata Development (New),https://www.shl.com/products/product-catalog/view/teradata-development-new/,
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,
